rnd,pick,team,player,pos,school,state,bonus,year
12,350,Rockies,Brandon Gold,RHP,Georgia Tech,GA,100000,2016
12,351,Brewers,Trever Morrison,SS,Oregon State,OR,110000,2016
12,352,Athletics,Luke Persico,OF,UCLA,CA,100000,2016
12,353,Marlins,Mike King,RHP,Boston College,MA,100000,2016
12,354,Padres,Jamie Sara,RHP,"West Potomac HS, Alexandria, Va.",VA,Pool,2016
12,355,Tigers,Daniel Woodrow,OF,Creighton,NE,150000,2016
12,356,White Sox,Mitch Roman,SS,Wright State,OH,88000,2016
12,357,Mariners,Tim Viehoff,LHP,Southern New Hampshire,NH,5000,2016
12,358,Red Sox,Matthew Gorst,RHP,Georgia Tech,GA,115000,2016
12,359,Diamondbacks,Gavin Stupienski,C,UNC Wilmington,NC,50000,2016
12,360,Rays,Brandon Lawson,RHP,South Florida,FL,100000,2016
12,361,Orioles,Max Knutson,LHP,Nebraska,NE,100000,2016
12,362,Indians,Zach Plesac,RHP,Ball State,IN,100000,2016
12,363,Twins,Zach Featherstone,OF,Tallahassee (Fla.) CC,FL,100000,2016
12,364,Nationals,Hayden Howard,LHP,Texas Tech,TX,100000,2016
12,365,Giants,Ryan Kirby,1B,San Diego,CA,100000,2016
12,366,Angels,Bo Tucker,LHP,Georgia,GA,100000,2016
12,367,Astros,Carmen Benedetti,LHP,Michigan,MI,100000,2016
12,368,Yankees,Taylor Widener,RHP,South Carolina,SC,100000,2016
12,369,Rangers,Alex Kowalczyk,C,Pittsburgh,NC,5000,2016
12,370,Mets,Matt Cleveland,RHP,Windsor (Conn.) HS,CT,300000,2016
12,371,Dodgers,Graham Ashcraft,RHP,Huntsville (Ala.) HS,AL,Pool,2016
12,372,Blue Jays,Ridge Smith,C,Austin Peay State,TN,80000,2016
12,373,Royals,Jeremy Gwinn,RHP,Colby (Kan.) CC,KS,100000,2016
12,374,Cubs,Trey Cobb,RHP,Oklahoma State,OK,Pool,2016
12,375,Pirates,Arden Pabst,C,Georgia Tech,GA,75000,2016
12,376,Cardinals,Brady Whalen,SS,"Union HS, Camas, Wash.",WA,475000,2016
13,377,Phillies,Andrew Brown,RHP,"Granite Hills HS, El Cajon, Calif.",CA,100000,2016
13,378,Reds,Ryan Olson,RHP,Cal Poly Pomona,CA,250000,2016
13,379,Braves,Brandon T. White,RHP,Davenport (Mich.),MI,85000,2016
13,380,Rockies,Taylor Snyder,SS,Colorado State-Pueblo,CO,50000,2016
13,381,Brewers,Thomas Jankins,RHP,Quinnipiac,CT,100000,2016
13,382,Athletics,Nate Mondou,2B,Wake Forest,NC,100000,2016
13,383,Marlins,Nick Eicholtz,RHP,Alabama,AL,Pool,2016
13,384,Padres,Joe Galindo,RHP,New Mexico State,NM,100000,2016
13,385,Tigers,Brady Policelli,C,Towson,MD,75000,2016
13,386,White Sox,Michael Hickman,C,Chipola (Fla.) JC,FL,100000,2016
13,387,Mariners,Reggie McClain,RHP,Missouri,MO,5000,2016
13,388,Red Sox,Brady Bramlett,RHP,Mississippi,MS,Pool,2016
13,389,Diamondbacks,Manny Jefferson,2B,Pepperdine,CA,100000,2016
13,390,Rays,Nathan Lowe,1B,Mississippi State,MS,100000,2016
13,391,Orioles,Brandon Bonilla,LHP,Hawaii Pacific,HI,,2016
13,392,Indians,Gavin Collins,C,Mississippi State,MS,100000,2016
13,393,Twins,Ryan Mason,RHP,California,CA,5000,2016
13,394,Nationals,Conner Simonetti,1B,Kent State,OH,40000,2016
13,395,Giants,Jose Layer,OF,"Angel David HS, San Juan, P.R.",PR,150000,2016
13,396,Angels,Anthony Molina,RHP,"West Broward HS, Hollywood, Fla.",FL,Pool,2016
13,397,Astros,Ryne Birk,2B,Texas A&M,TX,100000,2016
13,398,Yankees,Brian Trieglaff,RHP,Texas Christian,TX,100000,2016
13,399,Rangers,Jonah McReynolds,SS,Patrick Henry (Va.) CC,VA,100000,2016
13,400,Mets,Dan Rizzie,C,Xavier,OH,50000,2016
13,401,Dodgers,Cody Thomas,OF,Oklahoma,OK,297500,2016
13,402,Blue Jays,Chris Lincoln,RHP,"Rancho Verde HS, Moreno Valley, Calif.",CA,Pool,2016
13,403,Royals,Logan Gray,2B,Austin Peay State,TN,100000,2016
13,404,Cubs,Wyatt Short,LHP,Mississippi,MS,50000,2016
13,405,Pirates,John Pomeroy,RHP,Oregon State,OR,100000,2016
13,406,Cardinals,Shane Billings,OF,Wingate (N.C.),NC,50000,2016
14,407,Phillies,Darick Hall,1B,Dallas Baptist,TX,95000,2016
14,408,Reds,Jesse Adams,LHP,Boston College,MA,5000,2016
14,409,Braves,Ramon Osuna,1B,Walters State (Tenn.) CC,TN,100000,2016
14,410,Rockies,Matt Dennis,RHP,Bradley,IL,100000,2016
14,411,Brewers,Gabriel Garcia,C,Broward (Fla.) CC,FL,150000,2016
14,412,Athletics,Nolan Blackwood,RHP,Memphis,TN,90000,2016
14,413,Marlins,Michael Mertz,RHP,Oklahoma State,TX,100000,2016
14,414,Padres,Jared Poche,LHP,Louisiana State,LA,Pool,2016
14,415,Tigers,Austin Athmann,C,Minnesota,MN,100000,2016
14,416,White Sox,Bryan Saucedo,RHP,Davenport (Mich.),MI,100000,2016
14,417,Mariners,Kyle Davis,RHP,Southern California,CA,5000,2016
14,418,Red Sox,Robby Sexton,LHP,Wright State,OH,100000,2016
14,419,Diamondbacks,Colin Poche,LHP,Dallas Baptist,TX,100000,2016
14,420,Rays,Miles Mastrobuoni,2B,Nevada,NV,100000,2016
14,421,Orioles,Ruben Garcia,RHP,Eastern Florida State JC,FL,100000,2016
14,422,Indians,Mitch Longo,OF,Ohio,OH,100000,2016
14,423,Twins,Andre Jernigan,SS,Xavier,OH,30000,2016
14,424,Nationals,Kyle Simonds,RHP,Texas A&M,TX,1000,2016
14,425,Giants,Conner Menez,LHP,The Master's (Calif.),CA,75000,2016
14,426,Angels,Francisco Del Valle,OF,"Puerto Rico Baseball Academy, Gurabo, P.R.",PR,100000,2016
14,427,Astros,Carson LaRue,RHP,Cowley County (Kan.) CC,KS,100000,2016
14,428,Yankees,Jordan Scott,OF,"IMG Academy, Bradenton, Fla.",FL,100000,2016
14,429,Rangers,Derek Heffel,RHP,Madison (Wis.) JC,WI,100000,2016
14,430,Mets,Christian James,RHP,"East Lake HS, Tarpon Springs, Fla.",FL,100000,2016
14,431,Dodgers,Dean Kremer,RHP,Nevada-Las Vegas,NV,147500,2016
14,432,Blue Jays,Chris Hall,RHP,Elon,NC,70000,2016
14,433,Royals,David McKay,RHP,Florida Atlantic,FL,100000,2016
14,434,Cubs,Parker Dunshee,RHP,Wake Forest,NC,Pool,2016
14,435,Pirates,Hagen Owenby,C,East Tennessee State,TN,Pool,2016
14,436,Cardinals,Vince Jackson,OF,Tennessee,TN,3000,2016
15,437,Phillies,Alex Wojciechowski,1B,Minnesota-Duluth,MN,,2016
15,438,Reds,Jesse Stallings,RHP,Louisiana State,LA,150000,2016
15,439,Braves,Zach Becherer,RHP,Rend Lake (Ill.) JC,IL,175000,2016
15,440,Rockies,Justin Valdespina,RHP,Southern New Hampshire,NH,75000,2016
15,441,Brewers,Scott Serigstad,RHP,Cal State Fullerton,CA,100000,2016
15,442,Athletics,Ty Damron,LHP,Texas Tech,TX,120000,2016
15,443,Marlins,James Nelson,SS,Cisco (Texas) JC,TX,75000,2016
15,444,Padres,Jack Suwinski,OF,"Taft HS, Chicago",IL,550000,2016
15,445,Tigers,John Schreiber,RHP,Northwestern Ohio,OH,6000,2016
15,446,White Sox,Jake Elliott,RHP,Oklahoma,OK,100000,2016
15,447,Mariners,Danny Garcia,LHP,Miami,FL,100000,2016
15,448,Red Sox,Michael Wilson,SS,Colonia (N.J.) HS,NJ,Pool,2016
15,449,Diamondbacks,Tyler Keele,RHP,Morehead State,KY,2500,2016
15,450,Rays,Dalton Moats,LHP,Delta State (Miss.),MS,50000,2016
15,451,Orioles,Nick Jobst,RHP,South Carolina-Aiken,SC,100000,2016
15,452,Indians,Zack Smith,C,"Eastern Wayne HS, Goldsboro, N.C.",NC,Pool,2016
15,453,Twins,Tyler Wells,RHP,Cal State San Bernardino,CA,90000,2016
15,454,Nationals,Ryan Williamson,LHP,North Carolina State,NC,100000,2016
15,455,Giants,D.J. Myers,RHP,Nevada-Las Vegas,NV,60000,2016
15,456,Angels,Mike Kaelin,RHP,Buffalo,NY,100000,2016
15,457,Astros,Alex DeGoti,SS,Barry (Fla.),FL,2000,2016
15,458,Yankees,Tony Hernandez,LHP,Monroe (N.Y.) JC,NY,100000,2016
15,459,Rangers,Kobie Taylor,OF,Portsmouth (N.H.) HS,NH,350000,2016
15,460,Mets,Jacob Zanon,OF,Lewis-Clark State (Idaho),ID,100000,2016
15,461,Dodgers,Brayan Morales,OF,Hillsborough (Fla.) CC,FL,122500,2016
15,462,Blue Jays,Josh Winckowski,RHP,Estero (Fla.) HS,FL,125000,2016
15,463,Royals,Mike Messier,LHP,Bellarmine (Ky.),KY,25000,2016
15,464,Cubs,Jed Carter,RHP,Auburn-Montgomery (Ala.),AL,100000,2016
15,465,Pirates,Danny Beddes,RHP,Utah Valley,UT,5000,2016
15,466,Cardinals,J.R. Davis,2B,Oklahoma State,OK,100000,2016
16,467,Phillies,Brett Barbier,C,Cal Poly,CA,100000,2016
16,468,Reds,Mauro Conde,OF,"Cupeyville School, San Juan, P.R.",PR,100000,2016
16,469,Braves,Josh Anthony,3B,Western Oklahoma State JC,OK,Pool,2016
16,470,Rockies,Will Haynie,C,Alabama,AL,100000,2016
16,471,Brewers,Louie Crow,RHP,Buena Park (Calif.) HS,CA,Pool,2016
16,472,Athletics,Anthony Churlin,OF,"Island Coast HS, Cape Coral, Fla.",FL,175000,2016
16,473,Marlins,Dustin Beggs,RHP,Kentucky,KY,10000,2016
16,474,Padres,Chris Mattison,C,Southeastern (Fla.),FL,80000,2016
16,475,Tigers,Will Savage,2B,Columbia,NY,75000,2016
16,476,White Sox,Ben Wright,RHP,Nevada-Las Vegas,NV,10000,2016
16,477,Mariners,Lyle Lin,C,"JSerra HS, San Juan Capistrano, Calif.",CA,Pool,2016
16,478,Red Sox,Alberto Schmidt,C,"San Angel David HS, San Juan, P.R.",PR,100000,2016
16,479,Diamondbacks,Nick Blackburn,RHP,Illinois,IL,,2016
16,480,Rays,Dominic Miroglio,C,San Francisco,CA,Pool,2016
16,481,Orioles,Willie Rios,LHP,Florida Southwestern JC,FL,107300,2016
16,482,Indians,Ben Krauth,LHP,Kansas,KS,,2016
16,483,Twins,Tyler Beardsley,RHP,Sacramento State,CA,,2016
16,484,Nationals,Phil Morse,RHP,Shenandoah (Va.),VA,,2016
16,485,Giants,Chris Falwell,LHP,Texas A&M-Corpus Christi,TX,100000,2016
16,486,Angels,Keith Grieshaber,SS,Jefferson (Mo.) JC,MO,100000,2016
16,487,Astros,Spencer Johnson,OF,Missouri State,MO,,2016
16,488,Yankees,Zach Linginfelter,RHP,"Sevier County HS, Sevierville, Tenn.",TN,Pool,2016
16,489,Rangers,Scott Engler,RHP,Cowley County (Kan.) CC,KS,125000,2016
16,490,Mets,Trent Johnson,RHP,Santa Fe (Fla.) CC,FL,80000,2016
16,491,Dodgers,Darien Tubbs,OF,Memphis,TN,100000,2016
16,492,Blue Jays,Dominic Taccolini,RHP,Arkansas,AR,Pool,2016
16,493,Royals,Nick Heath,OF,Northwestern State,LA,100000,2016
16,494,Cubs,Holden Cammack,RHP,Oral Roberts,OK,,2016
16,495,Pirates,Matt Diorio,OF,Central Florida,FL,100000,2016
16,496,Cardinals,Tyler Lancaster,C,Spartanburg Methodist (S.C.) JC,SC,,2016
17,497,Phillies,Danny Zardon,3B,Nova Southeastern (Fla.),FL,80000,2016
17,498,Reds,Mitchell Traver,RHP,Texas Christian,TX,Pool,2016
17,499,Braves,Devan Watts,RHP,Tusculum (Tenn.),TN,60000,2016
17,500,Rockies,Mike Bunal,RHP,Binghamton,NY,,2016
17,501,Brewers,Weston Wilson,3B,Clemson,SC,80000,2016
17,502,Athletics,Seth Martinez,RHP,Arizona State,AZ,70000,2016
17,503,Marlins,Brent Wheatley,RHP,Southern California,CA,,2016
17,504,Padres,Chris Baker,SS,Washington,WA,100000,2016
17,505,Tigers,Brandyn Sittinger,RHP,Ashland (Ohio),OH,,2016
17,506,White Sox,Brad Haymes,RHP,Gardner-Webb,NC,,2016
17,507,Mariners,Dimas Ojeda,OF,McLennan (Texas) CC,TX,100000,2016
17,508,Red Sox,Nick Sciortino,C,Boston College,MA,80000,2016
17,509,Diamondbacks,Jake Winston,RHP,Southern Mississippi,MS,,2016
17,510,Rays,Wyatt Mills,RHP,Gonzaga,WA,Pool,2016
17,511,Orioles,Tyler Blohm,LHP,"Arhcbiship Spalding HS, Severn, Md.",MD,Pool,2016
17,512,Indians,Trenton Brooks,OF,Nevada,NV,100000,2016
17,513,Twins,Kidany Salva,C,"Klein Forest HS, Houston",TX,70000,2016
17,514,Nationals,Tyler Beckwith,SS,Richmond,VA,,2016
17,515,Giants,Reagan Bazar,RHP,Louisiana-Lafayette,LA,100000,2016
17,516,Angels,Zach Gibbons,OF,Arizona,AZ,,2016
17,517,Astros,Brian Howard,RHP,Texas Christian,TX,Pool,2016
17,518,Yankees,Mandy Alvarez,3B,Eastern Kentucky,KY,,2016
17,519,Rangers,Reid Anderson,RHP,Millersville (Pa.),PA,70000,2016
17,520,Mets,Jay Jabs,3B,Franklin Pierce (N.H.),NH,,2016
17,521,Dodgers,Dillon Persinger,2B,Golden West (Calif.) JC,CA,Pool,2016
17,522,Blue Jays,Clayton Keyes,OF,"Bishop Carroll HS, Calgary",AB,Pool,2016
17,523,Royals,Dillon Drabble,RHP,Seminole State (Okla.) JC,OK,100000,2016
17,524,Cubs,Zack Short,SS,Sacred Heart,CT,80000,2016
17,525,Pirates,Matt Frawley,RHP,Purdue,IN,60000,2016
17,526,Cardinals,Matt Ellis,RHP,UC Riverside,CA,Pool,2016
18,527,Phillies,Jake Kelzer,RHP,Indiana,IN,100000,2016
18,528,Reds,J.C. Flowers,OF,"Trinity Christian Academy, Jacksonville",FL,Pool,2016
18,529,Braves,Zach Rice,LHP,North Carolina,NC,100000,2016
18,530,Rockies,Hunter Melton,1B,Texas A&M,TX,,2016
18,531,Brewers,Cooper Hummel,C,Portland,OR,98500,2016
18,532,Athletics,Skyler Weber,C,Georgia,GA,85000,2016
18,533,Marlins,David Gauntt,C,Washburn (Kan.),KS,,2016
18,534,Padres,Jaquez Williams,1B,"East Coweta HS, Sharpsburg, Ga.",GA,100000,2016
18,535,Tigers,Niko Buentello,1B,Auburn,AL,100000,2016
18,536,White Sox,Lane Hobbs,RHP,Concordia (Texas),TX,80000,2016
18,537,Mariners,Robert Dugger,RHP,Texas Tech,TX,70000,2016
18,538,Red Sox,Trevor Stephan,RHP,Hill (Texas) JC,TX,Pool,2016
18,539,Diamondbacks,Bowden Francis,RHP,Chipola (Fla.) JC,FL,Pool,2016
18,540,Rays,Sam Long,LHP,Sacramento State,CA,75000,2016
18,541,Orioles,Layne Bruner,LHP,Washington State,WA,,2016
18,542,Indians,Raymond Burgos,LHP,"Pedro Falu Orellano HS, Rio Grande, P.R.",PR,,2016
18,543,Twins,Timmy Richards,SS,Cal State Fullerton,CA,Pool,2016
18,544,Nationals,Ben Braymer,LHP,Auburn,AL,100000,2016
18,545,Giants,Jacob Heyward,OF,Miami,FL,,2016
18,546,Angels,David Oppenheim,OF,Southern California,CA,Pool,2016
18,547,Astros,Colin McKee,RHP,Mercyhurst (Pa.),PA,,2016
18,548,Yankees,Greg Weissert,RHP,Fordham,NY,75000,2016
18,549,Rangers,Marcus Mack,OF,Bellaire (Texas) HS,TX,175000,2016
18,550,Mets,Adam Atkins,RHP,Louisiana Tech,LA,,2016
18,551,Dodgers,Cole Freeman,2B,Louisiana State,LA,Pool,2016
18,552,Blue Jays,Bradley Jones,3B,College of Charleston,SC,60000,2016
18,553,Royals,Vance Tatum,LHP,Mississippi State,MS,60000,2016
18,554,Cubs,Marc Huberman,LHP,Southern California,CA,,2016
18,555,Pirates,Kevin Mahala,RHP,George Washington,DC,80000,2016
18,556,Cardinals,Austin Sexton,RHP,Mississippi State,MS,100000,2016
19,557,Phillies,Will Hibbs,RHP,Lamar,TX,,2016
19,558,Reds,Matt Blandino,RHP,Felician (N.J.),NJ,,2016
19,559,Braves,Tucker Davidson,LHP,Midland (Texas) JC,TX,125000,2016
19,560,Rockies,Jacob Bosiokovic,1B,Ohio State,OH,40000,2016
19,561,Brewers,Zach Clark,OF,Pearl River (Miss.) CC,MS,125000,2016
19,562,Athletics,Sam Gilbert,RHP,Kansas,KS,,2016
19,563,Marlins,Shane Sawczak,LHP,Palm Beach State (Fla.) JC,FL,,2016
19,564,Padres,A.J. Brown,OF,Starkville (Miss.) HS,MS,,2016
19,565,Tigers,Dustin Frailey,OF,Cal State Bakersfield,CA,,2016
19,566,White Sox,Anthony Villa,1B,St. Mary's,CA,,2016
19,567,Mariners,DeAires Moses,OF,Volunteer State (Tenn.) CC,TN,,2016
19,568,Red Sox,Kyle Hart,LHP,Indiana,IN,,2016
19,569,Diamondbacks,Mark Karaviotis,SS,Oregon,OR,100000,2016
19,570,Rays,Jim Haley,3B,Penn State,PA,60000,2016
19,571,Orioles,Cole Billingsley,OF,South Alabama,AL,62500,2016
19,572,Indians,Dakody Clemmer,RHP,Central Arizona JC,AZ,100000,2016
19,573,Twins,Sean Poppen,RHP,Harvard,MA,,2016
19,574,Nationals,Jarrett Gonzales,C,"Madison HS, Dallas",TX,Pool,2016
19,575,Giants,Brandon Van Horn,SS,The Master's (Calif.),CA,,2016
19,576,Angels,Cody Ramer,SS,Arizona,AZ,,2016
19,577,Astros,Taylor Jones,1B,Gonzaga,WA,,2016
19,578,Yankees,Evan Alexander,OF,"Hebron HS, Carrollton, Texas",TX,100000,2016
19,579,Rangers,Alex Daniele,RHP,Oklahoma,OK,,2016
19,580,Mets,Gary Cornish,RHP,San Diego,CA,,2016
19,581,Dodgers,Chris Mathewson,RHP,Long Beach State,CA,202000,2016
19,582,Blue Jays,Spencer Van Scoyoc,LHP,"Jefferson HS, Cedar Rapids, Iowa",IA,Pool,2016
19,583,Royals,Tyler Fallwell,RHP,Cochise (Ariz.) JC,AZ,102500,2016
19,584,Cubs,Matt Swarmer,RHP,Kutztown (Pa.),PA,,2016
19,585,Pirates,Pearson McMahan,RHP,St. John's River State (Fla.) JC,FL,Pool,2016
19,586,Cardinals,Daniel Castano,LHP,Baylor,TX,130000,2016
20,587,Phillies,Caleb Eldridge,1B,Cowley County (Kan.) CC,KS,90000,2016
20,588,Reds,Todd Lott,OF,"Trinity Christian Academy, Jacksonville",FL,Pool,2016
20,589,Braves,Gabe Howell,2B,Trion (Ga.) HS,GA,100000,2016
20,590,Rockies,Kyle Cedotal,LHP,Southeast Louisiana,LA,,2016
20,591,Brewers,Jared Horn,RHP,"Vintage HS, Napa, Calif.",CA,Pool,2016
20,592,Athletics,Brigham Hill,RHP,Texas A&M,TX,Pool,2016
20,593,Marlins,Eric Gutierrez,1B,Texas Tech,TX,,2016
20,594,Padres,Dom DiSabatino,RHP,Harford (Md.) CC,MD,100000,2016
20,595,Tigers,Clate Schmidt,RHP,Clemson,SC,,2016
20,596,White Sox,Matt Foster,RHP,Alabama,AL,,2016
20,597,Mariners,Eric Filia,OF,UCLA,CA,,2016
20,598,Red Sox,Nick Lovullo,SS,Holy Cross,MA,,2016
20,599,Diamondbacks,Connor Grey,RHP,St. Bonaventure,NY,,2016
20,600,Rays,Kevin Santiago,SS,Miami-Dade JC,FL,297500,2016
20,601,Orioles,Yelin Rodriguez,LHP,"Puerto Rico Baseball Academy, Gurabo, P.R.",PR,100000,2016
20,602,Indians,Ben Baird,SS,"Agoura HS, Agoura Hills, Calif.",CA,Pool,2016
20,603,Twins,Shamoy Christopher,C,Roane State (Tenn.) CC,TN,Pool,2016
20,604,Nationals,Jake Barnett,LHP,Lewis-Clark State (Idaho),ID,70000,2016
20,605,Giants,Justin Alleman,RHP,Lee (Tenn.),TN,,2016
20,606,Angels,Jack Kruger,C,Mississippi State,MS,395000,2016
20,607,Astros,L.P. Pelletier,2B,Seminole State (Okla.) JC,OK,,2016
20,608,Yankees,Miles Chambers,RHP,Cal State Fullerton,CA,75000,2016
20,609,Rangers,Stephen Lohr,3B,California Baptist,CA,,2016
20,610,Mets,Carlos Cortes,2B,"Lake Howell HS, Winter Park, Fla.",FL,Pool,2016
20,611,Dodgers,Brock Carpenter,3B,Seattle,WA,75000,2016
20,612,Blue Jays,Angel Alicea,RHP,Alabama State,AL,100000,2016
20,613,Royals,Anthony Bender,RHP,Santa Rosa (Calif.) JC,CA,172500,2016
20,614,Cubs,Colton Freeman,LHP,Alabama,AL,,2016
20,615,Pirates,Adam Oller,RHP,Northwestern State,LA,70000,2016
20,616,Cardinals,Stefan Trosclair,1B,Louisiana-Lafayette,LA,,2016
21,617,Phillies,Jonathan Hennigan,LHP,Texas State,TX,70000,2016
21,618,Reds,Andrew Wright,LHP,Southern California,CA,100000,2016
21,619,Braves,Dalton Carroll,RHP,Utah,UT,,2016
21,620,Rockies,Tyler Bugner,OF,Newman (Kan.),KS,80000,2016
21,621,Brewers,Nathan Rodriguez,C,Cypress (Calif.) JC,CA,100000,2016
21,622,Athletics,Kyle Nowlin,OF,Eastern Kentucky,KY,,2016
21,623,Marlins,Luis Pintor,SS,New Mexico JC,NM,,2016
21,624,Padres,Taylor Kohlwey,OF,Wisconsin-La Crosse,WI,,2016
21,625,Tigers,Joe Navilhon,RHP,Southern California,CA,,2016
21,626,White Sox,Michael Horejsei,LHP,Ohio State,OH,,2016
21,627,Mariners,Austin Grebeck,OF,Oregon,OR,80000,2016
21,628,Red Sox,Beau Capanna,SS,"Bishop Gorman HS, Las Vegas",NV,Pool,2016
21,629,Diamondbacks,Cameron Cannon,SS,"Mountain Ridge HS, Glendale, Ariz.",AZ,Pool,2016
21,630,Rays,John McMillon,3B,Jasper (Texas) HS,TX,Pool,2016
21,631,Orioles,Chris Clare,SS,High Point,NC,65000,2016
21,632,Indians,Wil Crowe,RHP,South Carolina,SC,Pool,2016
21,633,Twins,Domenick Carlini,LHP,Southeast Louisiana,LA,,2016
21,634,Nationals,Jacob Howell,RHP,Delta State (Miss.),MS,55000,2016
21,635,Giants,Will Albertson,C,Catawba (N.C.),NC,,2016
21,636,Angels,L.J. Kalawaia,OF,UNC Greensboro,NC,,2016
21,637,Astros,Chuckie Robinson,C,Southern Mississippi,MS,100000,2016
21,638,Yankees,Timmy Robinson,OF,Southern California,CA,,2016
21,639,Rangers,Kaleb Fontenot,RHP,McNeese State,LA,,2016
21,640,Mets,Max Kuhns,RHP,Santa Clara,CA,75000,2016
21,641,Dodgers,James Carter,RHP,UC Santa Barbara,CA,100000,2016
21,642,Blue Jays,Mitch McKown,RHP,Seminole State (Fla.) JC,FL,75000,2016
21,643,Royals,Dalton Griffin,OF,"South Effingham HS, Guyton, Ga.",GA,105000,2016
21,644,Cubs,Sam Tidaback,C,North Georgia,GA,,2016
21,645,Pirates,Matt Eckelman,RHP,Saint Louis,MO,,2016
21,646,Cardinals,Cade Cabbiness,OF,Bixby (Okla.) HS,OK,Pool,2016
22,647,Phillies,Kyle Young,LHP,"St. Dominic HS, Oyster Bay, N.Y.",NY,225000,2016
22,648,Reds,Aaron Quillen,RHP,Belmont,TN,,2016
22,649,Braves,Alex Lee,1B,Samford,AL,,2016
22,650,Rockies,Steven Linkous,OF,UNC Wilmington,NC,,2016
22,651,Brewers,Cam Roegner,LHP,Bradley,IL,,2016
22,652,Athletics,Roger Gonzalez,C,Winthrop,SC,,2016
22,653,Marlins,Alex Mateo,RHP,Nova Southeastern (Fla.),FL,,2016
22,654,Padres,Evan Miller,RHP,Indiana-Purdue Fort Wayne,IN,80000,2016
22,655,Tigers,Burris Warner,RHP,Marshall,WV,100000,2016
22,656,White Sox,Joel Booker,OF,Iowa,IA,,2016
22,657,Mariners,Jansiel Rivera,OF,Mathuen (Mass.) HS,MA,125000,2016
22,658,Red Sox,Granger Studdard,OF,Texas State,TX,75000,2016
22,659,Diamondbacks,Kevin Ginkel,RHP,Arizona,AZ,,2016
22,660,Rays,Freddy Villarreal,RHP,"Veterans Memorial HS, Mission, Texas",TX,Pool,2016
22,661,Orioles,Nick Gruener,RHP,Harvard,MA,,2016
22,662,Indians,Mason Studstill,RHP,Rockledge (Fla.) HS,FL,Pool,2016
22,663,Twins,Hank Morrison,OF,Mercyhurst (Pa.),PA,,2016
22,664,Nationals,Sterling Sharp,RHP,Drury (Mo.),MO,,2016
22,665,Giants,Malique Ziegler,OF,North Iowa Area CC,IA,100000,2016
22,666,Angels,Troy Rallings,RHP,Washington,WA,,2016
22,667,Astros,Ray Henderson,C,Grayson County (Texas) CC,TX,100000,2016
22,668,Yankees,Blair Henley,RHP,"Arlington Heights HS, Fort Worth",TX,Pool,2016
22,669,Rangers,Clay Middleton,C,Bethune-Cookman,FL,,2016
22,670,Mets,Ian Strom,OF,Massachusetts-Lowell,MA,,2016
22,671,Dodgers,Jeff Paschke,RHP,Southern California,CA,100000,2016
22,672,Blue Jays,Connor Eller,RHP,Ouachita Baptist (Ark.),AR,,2016
22,673,Royals,Cody Nesbit,RHP,San Jacinto (Texas) JC,TX,100000,2016
22,674,Cubs,Dante Biasi,LHP,"Hazleton Area HS, Hazle Township, Pa.",PA,Pool,2016
22,675,Pirates,Brandon Bingel,RHP,Bryant,RI,,2016
22,676,Cardinals,Mick Fennell,OF,California (Pa.),PA,,2016
23,677,Phillies,Camden Duzenack,SS,Dallas Baptist,TX,Pool,2016
23,678,Reds,Manny Cruz,SS,Southern New Hampshire,NH,75000,2016
23,679,Braves,Griffin Benson,1B,Aledo (Texas) HS,TX,100000,2016
23,680,Rockies,Jared Gesell,RHP,UNC Wilmington,NC,,2016
23,681,Brewers,Ronnie Gideon,1B,Texas A&M,TX,93750,2016
23,682,Athletics,Christian Young,RHP,Niagara County (N.Y.) CC,NY,Pool,2016
23,683,Marlins,Hunter Wells,RHP,Gonzaga,WA,100000,2016
23,684,Padres,Nate Easley,2B,Yavapai (Ariz.) JC,AZ,100000,2016
23,685,Tigers,Bryan Torres,C,"Beltran Baseball Academy, Florida, P.R.",PR,100000,2016
23,686,White Sox,Sam Dexter,SS,Southern Maine,ME,,2016
23,687,Mariners,Jack Anderson,RHP,Penn State,PA,,2016
23,688,Red Sox,Juan Carlos Abreu,OF,Winter Springs (Fla.) HS,FL,100000,2016
23,689,Diamondbacks,Luke Van Rycheghem,C,"Ursuline College SS, Chatham, Ont.",ON,100000,2016
23,690,Rays,Isaac Benard,OF,Mount Hood (Ore.) CC,OR,,2016
23,691,Orioles,Tyler Erwin,LHP,New Mexico State,NM,100000,2016
23,692,Indians,Michael Letkewicz,RHP,Augustana (S.D.),SD,,2016
23,693,Twins,Caleb Hamilton,SS,Oregon State,OR,,2016
23,694,Nationals,Michael Rishwain,RHP,Westmont (Calif.),CA,,2016
23,695,Giants,Jake Greenwalt,RHP,Windsor (Colo.) HS,CO,80000,2016
23,696,Angels,Torii Hunter,OF,Notre Dame,IN,100000,2016
23,697,Astros,Tyler Britton,RHP,High Point,NC,,2016
23,698,Yankees,Braden Bristo,RHP,Louisiana Tech,LA,55000,2016
23,699,Rangers,Dylan Bice,RHP,"Heritage HS, Ringgold, Ga.",GA,100000,2016
23,700,Mets,Nick Sergakis,2B,Ohio State,OH,,2016
23,701,Dodgers,Bailey Ober,RHP,College of Charleston,SC,Pool,2016
23,702,Blue Jays,Dom Abbadessa,OF,Huntington Beach (Calif.) HS,CA,150000,2016
23,703,Royals,Kort Peterson,OF,UCLA,CA,,2016
23,704,Cubs,Delvin Zinn,SS,Itawamba (Miss.) CC,MS,100000,2016
