rnd,pick,team,player,pos,school,state,bonus,year
2.5,75,Brewers,Mario Feliciano,C,"Beltran Baseball Academy, Florida, P.R.",PR,800000,2016
2.5,76,Braves,Brett Cumberland,C,California,CA,1500000,2016
2.5,77,Rays,Jake Fraley,OF,Louisiana State,LA,797500,2016
3,78,Phillies,Cole Stobbe,SS,"Millard West HS, Omaha",NE,1100000,2016
3,79,Reds,Nick Hanson,RHP,"Prior Lake HS, Savage, Minn.",MN,925000,2016
3,80,Braves,Drew Harrington,LHP,Louisville,KY,900000,2016
3,81,Rockies,Garrett Hampson,SS,Long Beach State,CA,750000,2016
3,82,Brewers,Braden Webb,RHP,South Carolina,SC,700000,2016
3,83,Athletics,Sean Murphy,C,Wright State,OH,753100,2016
3,84,Marlins,Thomas Jones,OF,Laurens (S.C.) HS,SC,1000000,2016
3,85,Padres,Mason Thompson,RHP,Round Rock (Texas) HS,TX,1750000,2016
3,86,White Sox,Alex Call,OF,Ball State,IN,719100,2016
3,87,Mariners,Bryson Brigman,SS,San Diego,CA,700000,2016
3,88,Red Sox,Shaun Anderson,RHP,Florida,FL,700000,2016
3,89,Diamondbacks,Jon Duplantier,RHP,Rice,TX,686600,2016
3,90,Rays,Austin Franklin,RHP,Paxton (Fla.) HS,FL,597500,2016
3,91,Orioles,Austin Hays,OF,Jacksonville,FL,665800,2016
3,92,Indians,Aaron Civale,RHP,Northeastern,MA,625000,2016
3,93,Twins,Griffin Jax,RHP,Air Force,CO,645600,2016
3,94,Nationals,Jesus Luzardo,LHP,"Douglas HS, Parkland, Fla.",FL,1400000,2016
3,95,Giants,Heath Quinn,OF,Samford,AL,625900,2016
3,96,Angels,Nonie Williams,SS,"Kansas City, Kan. (no school)",KS,950000,2016
3,97,Astros,Jake Rogers,C,Tulane,LA,614000,2016
3,98,Yankees,Nolan Martinez,RHP,Culver City (Calif.) HS,CA,1150000,2016
3,99,Rangers,Kole Enright,3B,"West Orange HS, Winter Garden, Fla.",FL,675000,2016
3,100,Mets,Blake Tiberi,3B,Louisville,KY,500000,2016
3,101,Dodgers,Dustin May,RHP,"Northwest HS, Justin, Texas",TX,997500,2016
3,102,Blue Jays,Zach Jackson,RHP,Arkansas,AR,275000,2016
3,103,Royals,Khalil Lee,OF,"Flint Hill School, Oakton, Va.",VA,750000,2016
3,104,Cubs,Thomas Hatch,RHP,Oklahoma State,OK,573900,2016
3,105,Pirates,Stephen Alemais,SS,Tulane,LA,500000,2016
3,106,Cardinals,Zac Gallen,RHP,North Carolina,NC,563100,2016
4,107,Phillies,JoJo Romero,LHP,Yavapai (Ariz.) JC,AZ,800000,2016
4,108,Reds,Scott Moss,LHP,Florida,FL,577400,2016
4,109,Braves,Bryse Wilson,RHP,"Orange HS, Hillsborough, N.C.",NC,1200000,2016
4,110,Rockies,Colton Welker,3B,"Douglas HS, Parkland, Fla.",FL,855000,2016
4,111,Brewers,Corbin Burnes,RHP,St. Mary's,CA,536400,2016
4,112,Athletics,Skylar Szynski,RHP,"Penn HS, Mishawaka, Ind.",IN,1000000,2016
4,113,Marlins,Sean Reynolds,OF,"Redondo Union HS, Redondo Beach, Calif.",CA,600000,2016
4,114,Padres,Joey Lucchesi,LHP,Southeast Missouri State,MO,100000,2016
4,115,Tigers,Kyle Funkhouser,RHP,Louisville,KY,750000,2016
4,116,White Sox,Jameson Fisher,OF,Southeastern Louisiana,LA,485000,2016
4,117,Mariners,Thomas Burrows,LHP,Alabama,AL,450000,2016
4,118,Red Sox,Bobby Dalbec,3B,Arizona,AZ,650000,2016
4,119,Diamondbacks,Curtis Taylor,RHP,British Columbia,BC,496700,2016
4,120,Rays,Easton McGee,RHP,Hopkinsville (Ky.) HS,KY,673700,2016
4,121,Orioles,Brenan Hanifee,RHP,"Ashby HS, Bridgewater, Va.",VA,500000,2016
4,122,Indians,Shane Bieber,RHP,UC Santa Barbara,CA,420000,2016
4,123,Twins,Thomas Hackimer,RHP,St. John's,NY,225000,2016
4,124,Nationals,Nick Banks,OF,Texas A&M,TX,500000,2016
4,125,Giants,Matt Krook,LHP,Oregon,OR,500000,2016
4,126,Angels,Chris Rodriguez,RHP,Pace (Fla.) HS,FL,850000,2016
4,127,Astros,Brett Adcock,LHP,Michigan,MI,430000,2016
4,128,Yankees,Nick Nelson,RHP,Gulf Coast State (Fla.) JC,FL,350000,2016
4,129,Rangers,Charles LeBlanc,SS,Pittsburgh,PA,415000,2016
4,130,Mets,Michael Paez,SS,Coastal Carolina,SC,446500,2016
4,131,Dodgers,D.J. Peters,OF,Western Nevada CC,NV,247500,2016
4,132,Blue Jays,Josh Palacios,OF,Auburn,AL,438100,2016
4,133,Royals,Jace Vines,RHP,Texas A&M,TX,375000,2016
4,134,Cubs,Tyson Miller,RHP,California Baptist,CA,500000,2016
4,135,Pirates,Braeden Ogle,LHP,Jensen Beach (Fla.) HS,FL,800000,2016
4,136,Cardinals,Jeremy Martinez,C,Southern California,CA,600000,2016
5,137,Phillies,Cole Irvin,LHP,Oregon,OR,800000,2016
5,138,Reds,Ryan Hendrix,RHP,Texas A&M,TX,410000,2016
5,139,Braves,Jeremy Walker,RHP,Gardner-Webb,NC,275000,2016
5,140,Rockies,Brian Serven,C,Arizona State,AZ,400000,2016
5,141,Brewers,Zack Brown,RHP,Kentucky,KY,401700,2016
5,142,Athletics,JaVon Shelby,3B,Kentucky,KY,275000,2016
5,143,Marlins,Sam Perez,RHP,Missouri State,MO,20000,2016
5,144,Padres,Lake Bachar,RHP,Wisconsin-Whitewater,WI,350000,2016
5,145,Tigers,Mark Ecker,RHP,Texas A&M,TX,386500,2016
5,146,White Sox,Jimmy Lambert,RHP,Fresno State,CA,325000,2016
5,147,Mariners,Donnie Walton,SS,Oklahoma State,OK,125000,2016
5,148,Red Sox,Mike Shawaryn,RHP,Maryland,MD,637500,2016
5,149,Diamondbacks,Joey Rose,3B,Toms River (N.J.) North HS,NJ,400000,2016
5,150,Rays,Mikey York,RHP,JC of Southern Nevada,NV,297500,2016
5,151,Orioles,Alexis Torres,SS,"Angel David HS, San Juan, P.R.",PR,364700,2016
5,152,Indians,Conner Capel,OF,"Seven Lakes HS, Katy, Texas",TX,361300,2016
5,153,Twins,Jordan Balazovic,RHP,"St. Martin SS, Mississauga, Ont.",ON,515000,2016
5,154,Nationals,Daniel Johnson,OF,New Mexico State,NM,325000,2016
5,155,Giants,Ryan Howard,SS,Missouri,MO,250000,2016
5,156,Angels,Connor Justus,SS,Georgia Tech,GA,250000,2016
5,157,Astros,Abraham Toro,3B,Seminole State (Okla.) JC,OK,250000,2016
5,158,Yankees,Dom Thompson-Williams,OF,South Carolina,SC,250000,2016
5,159,Rangers,Kyle Roberts,LHP,Henry Ford (Mich.) JC,MI,400000,2016
5,160,Mets,Colby Woodmansee,SS,Arizona State,AZ,334500,2016
5,161,Dodgers,Devin Smeltzer,LHP,San Jacinto (Texas) JC,TX,497500,2016
5,162,Blue Jays,Cavan Biggio,2B,Notre Dame,IN,300000,2016
5,163,Royals,Nicky Lopez,SS,Creighton,NE,243300,2016
5,164,Cubs,Bailey Clark,RHP,Duke,NC,450000,2016
5,165,Pirates,Blake Cederlind,RHP,Merced (Calif.) JC,CA,285000,2016
5,166,Cardinals,Walker Robbins,OF,"George County HS, Lucedale, Miss.",MS,450000,2016
6,167,Phillies,David Martinelli,OF,Dallas Baptist,TX,312700,2016
6,168,Reds,Tyler Mondile,RHP,"Gloucester Catholic HS, Gloucester City, N.J.",NJ,309700,2016
6,169,Braves,Matt Gonzalez,2B,Georgia Tech,GA,25000,2016
6,170,Rockies,Willie Abreu,OF,Miami,FL,303700,2016
6,171,Brewers,Payton Henry,C,Pleasant Grove (Utah) HS,UT,550600,2016
6,172,Athletics,Brandon Bailey,RHP,Gonzaga,WA,298000,2016
6,173,Marlins,Remey Reed,RHP,Oklahoma State,OK,200000,2016
6,174,Padres,Will Stillman,RHP,Wofford,SC,50000,2016
6,175,Tigers,Bryan Garcia,RHP,Miami,FL,289400,2016
6,176,White Sox,Luis Curbelo,SS,Cocoa (Fla.) HS,FL,700000,2016
6,177,Mariners,Brandon Miller,RHP,Millersville (Pa.),PA,250000,2016
6,178,Red Sox,Steve Nogosek,RHP,Oregon,OR,250000,2016
6,179,Diamondbacks,Mack Lemieux,LHP,Palm Beach State (Fla.) JC,FL,278500,2016
6,180,Rays,Zach Trageton,RHP,"Faith Lutheran HS, Las Vegas",NV,522500,2016
6,181,Orioles,Tobias Myers,RHP,Winter Haven (Fla.) HS,FL,225000,2016
