rnd,pick,team,player,pos,school,state,bonus
2.5,71,Padres,Reggie Lawson,RHP,"Victor Valley HS, Victorville, Calif.",CA,"$1,900,000 "
2.5,72,Indians,Logan Ice,C,Oregon State,OR,"$850,000 "
2.5,73,Twins,Jose Miranda,SS,"Leadership Christian Academy, Guaynabo, P.R.",PR,"$775,000 "
2.5,74,Twins,Akil Baddoo,OF,"Salem HS, Conyers, Ga.",GA,"$750,000 "
2.5,75,Brewers,Mario Feliciano,C,"Beltran Baseball Academy, Florida, P.R.",PR,"$800,000 "
2.5,76,Braves,Brett Cumberland,C,California,CA,"$1,500,000 "
2.5,77,Rays,Jake Fraley,OF,Louisiana State,LA,"$797,500 "
3,78,Phillies,Cole Stobbe,SS,"Millard West HS, Omaha",NE,"$1,100,000 "
3,79,Reds,Nick Hanson,RHP,"Prior Lake HS, Savage, Minn.",MN,"$925,000 "
3,80,Braves,Drew Harrington,LHP,Louisville,KY,"$900,000 "
3,81,Rockies,Garrett Hampson,SS,Long Beach State,CA,"$750,000 "
3,82,Brewers,Braden Webb,RHP,South Carolina,SC,"$700,000 "
3,83,Athletics,Sean Murphy,C,Wright State,OH,"$753,100 "
3,84,Marlins,Thomas Jones,OF,Laurens (S.C.) HS,SC,"$1,000,000 "
3,85,Padres,Mason Thompson,RHP,Round Rock (Texas) HS,TX,"$1,750,000 "
3,86,White Sox,Alex Call,OF,Ball State,IN,"$719,100 "
3,87,Mariners,Bryson Brigman,SS,San Diego,CA,"$700,000 "
3,88,Red Sox,Shaun Anderson,RHP,Florida,FL,"$700,000 "
3,89,Diamondbacks,Jon Duplantier,RHP,Rice,TX,"$686,600 "
3,90,Rays,Austin Franklin,RHP,Paxton (Fla.) HS,FL,"$597,500 "
3,91,Orioles,Austin Hays,OF,Jacksonville,FL,"$665,800 "
3,92,Indians,Aaron Civale,RHP,Northeastern,MA,"$625,000 "
3,93,Twins,Griffin Jax,RHP,Air Force,CO,"$645,600 "
3,94,Nationals,Jesus Luzardo,LHP,"Douglas HS, Parkland, Fla.",FL,"$1,400,000 "
3,95,Giants,Heath Quinn,OF,Samford,AL,"$625,900 "
3,96,Angels,Nonie Williams,SS,"Kansas City, Kan. (no school)",KS,"$950,000 "
3,97,Astros,Jake Rogers,C,Tulane,LA,"$614,000 "
3,98,Yankees,Nolan Martinez,RHP,Culver City (Calif.) HS,CA,"$1,150,000 "
3,99,Rangers,Kole Enright,3B,"West Orange HS, Winter Garden, Fla.",FL,"$675,000 "
3,100,Mets,Blake Tiberi,3B,Louisville,KY,"$500,000 "
3,101,Dodgers,Dustin May,RHP,"Northwest HS, Justin, Texas",TX,"$997,500 "
3,102,Blue Jays,Zach Jackson,RHP,Arkansas,AR,"$275,000 "
3,103,Royals,Khalil Lee,OF,"Flint Hill School, Oakton, Va.",VA,"$750,000 "
3,104,Cubs,Thomas Hatch,RHP,Oklahoma State,OK,"$573,900 "
3,105,Pirates,Stephen Alemais,SS,Tulane,LA,"$500,000 "
3,106,Cardinals,Zac Gallen,RHP,North Carolina,NC,"$563,100 "
4,107,Phillies,JoJo Romero,LHP,Yavapai (Ariz.) JC,AZ,"$800,000 "
4,108,Reds,Scott Moss,LHP,Florida,FL,"$577,400 "
4,109,Braves,Bryse Wilson,RHP,"Orange HS, Hillsborough, N.C.",NC,"$1,200,000 "
4,110,Rockies,Colton Welker,3B,"Douglas HS, Parkland, Fla.",FL,"$855,000 "
4,111,Brewers,Corbin Burnes,RHP,St. Mary's,CA,"$536,400 "
4,112,Athletics,Skylar Szynski,RHP,"Penn HS, Mishawaka, Ind.",IN,"$1,000,000 "
4,113,Marlins,Sean Reynolds,OF,"Redondo Union HS, Redondo Beach, Calif.",CA,"$600,000 "
4,114,Padres,Joey Lucchesi,LHP,Southeast Missouri State,MO,"$100,000 "
4,115,Tigers,Kyle Funkhouser,RHP,Louisville,KY,"$750,000 "
4,116,White Sox,Jameson Fisher,OF,Southeastern Louisiana,LA,"$485,000 "
4,117,Mariners,Thomas Burrows,LHP,Alabama,AL,"$450,000 "
4,118,Red Sox,Bobby Dalbec,3B,Arizona,AZ,"$650,000 "
4,119,Diamondbacks,Curtis Taylor,RHP,British Columbia,BC,"$496,700 "
4,120,Rays,Easton McGee,RHP,Hopkinsville (Ky.) HS,KY,"$673,700 "
4,121,Orioles,Brenan Hanifee,RHP,"Ashby HS, Bridgewater, Va.",VA,"$500,000 "
4,122,Indians,Shane Bieber,RHP,UC Santa Barbara,CA,"$420,000 "
4,123,Twins,Thomas Hackimer,RHP,St. John's,NY,"$225,000 "
4,124,Nationals,Nick Banks,OF,Texas A&M,TX,"$500,000 "
4,125,Giants,Matt Krook,LHP,Oregon,OR,"$500,000 "
4,126,Angels,Chris Rodriguez,RHP,Pace (Fla.) HS,FL,"$850,000 "
4,127,Astros,Brett Adcock,LHP,Michigan,MI,"$430,000 "
4,128,Yankees,Nick Nelson,RHP,Gulf Coast State (Fla.) JC,FL,"$350,000 "
4,129,Rangers,Charles LeBlanc,SS,Pittsburgh,PA,"$415,000 "
4,130,Mets,Michael Paez,SS,Coastal Carolina,SC,"$446,500 "
4,131,Dodgers,D.J. Peters,OF,Western Nevada CC,NV,"$247,500 "
4,132,Blue Jays,Josh Palacios,OF,Auburn,AL,"$438,100 "
4,133,Royals,Jace Vines,RHP,Texas A&M,TX,"$375,000 "
4,134,Cubs,Tyson Miller,RHP,California Baptist,CA,"$500,000 "
4,135,Pirates,Braeden Ogle,LHP,Jensen Beach (Fla.) HS,FL,"$800,000 "
4,136,Cardinals,Jeremy Martinez,C,Southern California,CA,"$600,000 "
5,137,Phillies,Cole Irvin,LHP,Oregon,OR,"$800,000 "
5,138,Reds,Ryan Hendrix,RHP,Texas A&M,TX,"$410,000 "
5,139,Braves,Jeremy Walker,RHP,Gardner-Webb,NC,"$275,000 "
5,140,Rockies,Brian Serven,C,Arizona State,AZ,"$400,000 "
5,141,Brewers,Zack Brown,RHP,Kentucky,KY,"$401,700 "
5,142,Athletics,JaVon Shelby,3B,Kentucky,KY,"$275,000 "
5,143,Marlins,Sam Perez,RHP,Missouri State,MO,"$20,000 "
5,144,Padres,Lake Bachar,RHP,Wisconsin-Whitewater,WI,"$350,000 "
5,145,Tigers,Mark Ecker,RHP,Texas A&M,TX,"$386,500 "
5,146,White Sox,Jimmy Lambert,RHP,Fresno State,CA,"$325,000 "
5,147,Mariners,Donnie Walton,SS,Oklahoma State,OK,"$125,000 "
5,148,Red Sox,Mike Shawaryn,RHP,Maryland,MD,"$637,500 "
5,149,Diamondbacks,Joey Rose,3B,Toms River (N.J.) North HS,NJ,"$400,000 "
5,150,Rays,Mikey York,RHP,JC of Southern Nevada,NV,"$297,500 "
5,151,Orioles,Alexis Torres,SS,"Angel David HS, San Juan, P.R.",PR,"$364,700 "
5,152,Indians,Conner Capel,OF,"Seven Lakes HS, Katy, Texas",TX,"$361,300 "
5,153,Twins,Jordan Balazovic,RHP,"St. Martin SS, Mississauga, Ont.",ON,"$515,000 "
5,154,Nationals,Daniel Johnson,OF,New Mexico State,NM,"$325,000 "
5,155,Giants,Ryan Howard,SS,Missouri,MO,"$250,000 "
5,156,Angels,Connor Justus,SS,Georgia Tech,GA,"$250,000 "
5,157,Astros,Abraham Toro,3B,Seminole State (Okla.) JC,OK,"$250,000 "
5,158,Yankees,Dom Thompson-Williams,OF,South Carolina,SC,"$250,000 "
5,159,Rangers,Kyle Roberts,LHP,Henry Ford (Mich.) JC,MI,"$400,000 "
5,160,Mets,Colby Woodmansee,SS,Arizona State,AZ,"$334,500 "
5,161,Dodgers,Devin Smeltzer,LHP,San Jacinto (Texas) JC,TX,"$497,500 "
5,162,Blue Jays,Cavan Biggio,2B,Notre Dame,IN,"$300,000 "
5,163,Royals,Nicky Lopez,SS,Creighton,NE,"$243,300 "
5,164,Cubs,Bailey Clark,RHP,Duke,NC,"$450,000 "
5,165,Pirates,Blake Cederlind,RHP,Merced (Calif.) JC,CA,"$285,000 "
5,166,Cardinals,Walker Robbins,OF,"George County HS, Lucedale, Miss.",MS,"$450,000 "
6,167,Phillies,David Martinelli,OF,Dallas Baptist,TX,"$312,700 "
6,168,Reds,Tyler Mondile,RHP,"Gloucester Catholic HS, Gloucester City, N.J.",NJ,"$309,700 "
6,169,Braves,Matt Gonzalez,2B,Georgia Tech,GA,"$25,000 "
6,170,Rockies,Willie Abreu,OF,Miami,FL,"$303,700 "
6,171,Brewers,Payton Henry,C,Pleasant Grove (Utah) HS,UT,"$550,600 "
6,172,Athletics,Brandon Bailey,RHP,Gonzaga,WA,"$298,000 "
6,173,Marlins,Remey Reed,RHP,Oklahoma State,OK,"$200,000 "
6,174,Padres,Will Stillman,RHP,Wofford,SC,"$50,000 "
6,175,Tigers,Bryan Garcia,RHP,Miami,FL,"$289,400 "
6,176,White Sox,Luis Curbelo,SS,Cocoa (Fla.) HS,FL,"$700,000 "
6,177,Mariners,Brandon Miller,RHP,Millersville (Pa.),PA,"$250,000 "
6,178,Red Sox,Steve Nogosek,RHP,Oregon,OR,"$250,000 "
6,179,Diamondbacks,Mack Lemieux,LHP,Palm Beach State (Fla.) JC,FL,"$278,500 "
6,180,Rays,Zach Trageton,RHP,"Faith Lutheran HS, Las Vegas",NV,"$522,500 "
6,181,Orioles,Tobias Myers,RHP,Winter Haven (Fla.) HS,FL,"$225,000 "
6,182,Indians,Ulysses Cantu,3B,"Boswell HS, Fort Worth",TX,"$270,300 "
6,183,Twins,Alex Schick,RHP,California,CA,"$400,000 "
6,184,Nationals,Tres Barrera,C,Texas,TX,"$210,000 "
